LAMMPS data file, Author: Jerry Qin

1000 atoms
0 bonds
0 angles

2 atom types

-100.0 7500 xlo xhi
-100.0 7500 ylo yhi
-100.0 7500 zlo zhi

Masses

1 221851.699
2 422051.6999

Atoms

1 1  876.529 124.003 493.985
2 1  3298.601 3929.666 2762.667
3 1  1128.142 4629.892 2939.510
4 1  2187.890 4936.121 2178.039
5 1  886.763 4584.578 2112.382
6 1  3355.759 4041.121 196.104
7 1  2106.544 611.201 4816.042
8 1  4991.266 501.080 980.433
9 1  3924.975 2702.805 4457.980
10 1  1753.685 5252.378 1811.244
11 1  2013.201 1646.740 4548.899
12 1  4598.876 5293.720 2471.737
13 1  2436.813 2145.658 2624.348
14 1  586.832 1132.116 455.534
15 1  3272.673 5379.667 461.526
16 1  4103.916 1331.244 3351.405
17 1  2361.678 2351.082 3032.013
18 1  2961.242 4061.964 982.493
19 1  890.613 1044.484 2632.172
20 1  2567.409 4509.763 5559.192
21 1  4649.745 6127.622 3571.234
22 1  2468.690 4455.034 1519.056
23 1  2383.845 3151.838 539.933
24 1  2120.346 836.836 1557.102
25 1  5558.810 1669.885 2402.921
26 1  1551.780 564.760 4191.785
27 1  1910.082 4616.591 2311.123
28 1  1147.546 3235.946 6387.183
29 1  422.756 3927.226 1894.593
30 1  309.384 2949.728 3222.768
31 1  958.987 2543.639 1407.497
32 1  2911.520 2996.465 4360.135
33 1  1150.996 3507.994 874.651
34 1  2894.225 4147.941 902.278
35 1  3480.654 1609.594 1966.209
36 1  1416.183 148.626 446.870
37 1  991.866 0.000 132.188
38 1  828.235 542.416 431.333
39 1  118.820 610.536 334.800
40 1  6029.735 1532.145 4410.266
41 1  324.540 1049.711 736.029
42 1  249.912 99.365 141.930
43 1  149.222 427.699 680.233
44 1  43.065 604.732 993.277
45 1  776.587 663.919 429.932
46 1  534.751 0.000 785.603
47 1  685.559 62.148 864.183
48 1  991.520 648.164 160.911
49 1  638.155 591.824 599.892
50 1  917.503 373.431 120.319
51 1  1029.754 390.730 539.669
52 1  626.061 341.649 302.649
53 1  449.389 418.272 156.357
54 1  988.347 585.123 745.023
55 1  868.563 833.774 297.474
56 1  190.639 102.672 406.414
57 1  157.425 970.393 237.306
58 1  2743.021 3237.064 3057.650
59 1  240.429 966.027 551.670
60 1  2626.368 4383.093 2612.513
61 1  863.175 85.916 712.426
62 1  948.479 516.939 479.620
63 1  499.678 206.421 753.488
64 1  192.639 854.290 331.631
65 1  441.739 278.981 392.921
66 1  88.558 908.565 130.652
67 1  289.806 861.931 15.851
68 1  5001.458 6763.964 4514.068
69 1  56.446 703.949 750.143
70 1  635.638 241.984 216.622
71 1  5050.396 4089.878 1385.858
72 1  964.299 295.603 607.938
73 1  493.238 481.385 0.000
74 1  515.232 584.230 449.012
75 1  345.257 684.121 842.982
76 1  598.992 547.279 37.196
77 1  626.527 551.877 732.285
78 1  40.575 454.696 774.068
79 1  901.273 216.190 887.398
80 1  887.336 254.998 171.115
81 1  30.275 871.306 564.810
82 1  752.749 87.816 16.941
83 1  793.537 475.462 891.060
84 1  276.285 196.515 581.519
85 1  985.966 1006.984 723.379
86 1  760.893 988.953 82.724
87 1  525.629 1036.667 844.105
88 1  976.675 722.403 843.112
89 1  0.000 284.863 924.015
90 1  631.500 205.031 742.025
91 1  137.866 1013.595 894.912
92 1  539.779 836.486 904.565
93 1  644.927 835.514 984.383
94 1  411.352 646.420 501.656
95 1  718.448 621.188 819.051
96 1  165.851 766.189 697.696
97 1  320.141 141.380 743.633
98 1  634.126 474.463 515.366
99 1  349.027 254.406 681.704
100 1  280.302 889.096 651.227
101 1  7131.660 1266.675 291.766
102 1  323.730 116.016 873.475
103 1  420.944 992.429 92.553
104 1  122.936 625.119 137.611
105 1  436.376 758.376 929.746
106 1  892.008 766.473 739.949
107 1  528.257 995.140 410.995
108 1  251.242 642.363 79.822
109 1  1017.457 874.171 679.991
110 1  1543.907 379.724 0.000
111 1  631.697 892.097 499.171
112 1  1943.591 2229.127 4806.054
113 1  5270.392 77.848 768.846
114 1  979.106 598.388 1008.660
115 1  52.785 423.298 589.413
116 1  1375.930 6603.489 5128.694
117 1  108.929 299.978 266.606
118 1  309.166 162.496 36.216
119 1  917.624 692.279 260.990
120 1  760.450 290.309 213.629
121 1  673.355 592.096 470.116
122 1  696.183 213.697 428.349
123 1  722.719 1036.657 236.294
124 1  163.209 100.835 1006.910
125 1  166.670 728.795 300.091
126 1  644.029 394.168 177.409
127 1  475.108 916.727 822.110
128 1  208.684 340.824 391.015
129 1  284.885 202.369 367.322
130 1  926.288 489.597 872.929
131 1  64.400 450.189 242.501
132 1  617.585 609.920 151.758
133 1  763.334 747.968 648.237
134 1  799.803 1681.744 223.862
135 1  483.869 563.345 708.620
136 1  849.041 623.429 841.769
137 1  721.821 942.972 984.374
138 1  309.974 1041.531 224.231
139 1  172.248 842.237 590.986
140 1  653.942 884.010 816.828
141 1  3299.389 1710.288 1638.482
142 1  864.264 732.315 562.699
143 1  1414.089 803.761 1047.001
144 1  290.078 38.658 252.035
145 1  737.458 944.980 371.267
146 1  645.458 787.811 419.243
147 1  116.565 472.078 364.767
148 1  8.127 1030.400 284.005
149 1  402.326 517.132 960.223
150 1  6865.506 3723.510 6237.111
151 1  212.594 537.416 280.406
152 1  5512.878 3188.580 3818.729
153 1  753.079 650.976 559.176
154 1  559.911 79.867 889.125
155 1  186.058 408.283 272.496
156 1  243.433 280.741 268.869
157 1  562.109 99.993 702.295
158 1  992.651 149.380 812.166
159 1  675.739 3764.533 2248.473
160 1  286.246 446.166 411.047
161 1  881.284 748.949 432.862
162 1  563.889 670.246 846.343
163 1  3494.797 2217.303 1682.908
164 1  799.214 46.611 259.927
165 1  453.781 1065.541 669.097
166 1  620.285 326.602 1011.680
167 1  209.954 749.589 426.149
168 1  1567.583 2212.361 1396.030
169 1  129.144 84.233 221.653
170 1  25.058 181.123 716.562
171 1  842.018 476.725 317.290
172 1  503.831 371.852 620.115
173 1  1035.612 589.235 868.253
174 1  789.473 7.086 934.579
175 1  560.415 65.112 458.602
176 1  127.567 465.259 1066.615
177 1  568.850 847.761 261.620
178 1  642.808 1089.229 813.379
179 1  507.503 693.084 700.710
180 1  325.555 348.123 188.383
181 1  791.871 21.495 804.228
182 1  623.172 1985.839 0.000
183 1  943.589 98.730 604.837
184 1  490.130 950.683 529.292
185 1  818.906 962.903 672.760
186 1  952.871 475.924 605.356
187 1  172.237 410.577 949.000
188 1  823.449 1000.914 888.113
189 1  398.645 1230.422 1348.319
190 1  742.491 698.043 1013.178
191 1  966.617 416.091 330.223
192 1  922.583 421.942 0.000
193 1  182.641 247.449 930.814
194 1  502.479 591.898 580.242
195 1  420.428 764.288 769.860
196 1  29.440 285.835 652.590
197 1  770.355 345.494 889.702
198 1  982.337 787.835 196.916
199 1  741.690 500.015 772.137
200 1  0.000 1980.657 2858.169
201 1  195.004 222.859 8.878
202 1  38.585 739.749 237.534
203 1  535.435 722.853 200.232
204 1  409.728 84.454 220.246
205 1  1056.732 871.736 126.580
206 1  453.756 0.000 1111.139
207 1  587.528 325.675 711.437
208 1  263.021 536.983 158.424
209 1  4573.321 3034.041 2999.800
210 1  821.059 463.989 139.390
211 1  1006.007 112.372 403.297
212 1  698.073 692.358 216.174
213 1  1018.550 190.968 674.855
214 1  300.440 468.668 890.568
215 1  0.000 493.308 416.547
216 1  236.909 819.215 835.595
217 1  638.716 364.937 595.484
218 1  161.491 406.209 515.350
219 1  172.701 626.961 977.882
220 1  347.064 353.285 338.310
221 1  747.507 590.927 676.593
222 1  514.910 259.695 551.377
223 1  559.663 137.951 575.869
224 1  139.581 66.640 759.900
225 1  861.303 551.946 731.480
226 1  349.743 93.849 624.093
227 1  334.451 452.132 82.475
228 1  839.950 119.821 988.146
229 1  371.362 372.789 627.427
230 1  743.602 535.809 249.781
231 1  790.943 160.036 128.249
232 1  403.459 533.958 829.307
233 1  894.236 50.124 884.023
234 1  690.358 970.029 636.188
235 1  1042.792 563.511 69.883
236 1  834.960 318.018 621.855
237 1  475.947 336.933 992.913
238 1  794.132 705.216 305.791
239 1  984.318 199.521 519.186
240 1  2256.975 2105.021 336.796
241 1  406.520 770.961 185.963
242 1  510.789 187.169 176.901
243 1  700.394 490.615 385.995
244 1  110.837 511.978 92.568
245 1  391.880 611.025 371.703
246 1  3449.657 783.422 2907.006
247 1  796.631 3110.100 2175.417
248 1  760.006 3.581 141.456
249 1  884.933 381.357 515.574
250 1  724.616 984.956 768.713
251 1  726.359 328.659 90.992
252 1  734.374 248.574 671.698
253 1  422.391 810.204 46.858
254 1  184.774 886.785 745.020
255 1  388.498 513.530 460.601
256 1  170.764 579.505 0.000
257 1  448.409 180.988 633.910
258 1  128.137 535.093 849.026
259 1  651.818 920.985 130.962
260 1  538.553 860.365 389.619
261 1  281.722 671.157 504.511
262 1  674.223 168.258 1005.776
263 1  822.889 854.393 595.110
264 1  594.183 1024.780 562.561
265 1  944.822 480.114 216.254
266 1  102.173 762.107 859.502
267 1  615.928 956.867 320.039
268 1  825.705 187.881 598.021
269 1  535.621 542.570 828.260
270 1  166.243 0.884 2105.269
271 1  713.124 760.319 900.006
272 1  113.526 587.201 726.759
273 1  957.030 1410.560 1289.042
274 1  766.084 382.353 717.303
275 1  1003.500 952.057 299.429
276 1  227.619 791.575 205.788
277 1  2647.708 1530.188 1422.953
278 1  3014.504 4886.858 2510.440
279 1  299.330 757.265 954.509
280 1  69.874 174.366 401.806
281 1  359.109 850.181 874.738
282 1  319.674 75.291 375.407
283 1  2177.541 4875.167 1828.809
284 1  219.671 218.559 698.706
285 1  1057.136 694.312 664.435
286 1  322.648 874.437 181.268
287 1  343.696 1026.453 607.514
288 1  1835.725 2855.770 3826.201
289 1  906.410 241.500 1017.033
290 1  824.311 466.326 633.722
291 1  2204.352 1020.242 2033.727
292 1  644.715 439.061 849.923
293 1  926.962 437.471 734.392
294 1  700.182 423.527 969.798
295 1  3889.471 0.000 451.012
296 1  503.469 945.173 691.200
297 1  533.959 341.538 831.101
298 1  240.603 879.277 452.176
299 1  435.894 476.994 578.244
300 1  168.947 114.020 537.322
301 1  3247.811 2261.974 2519.203
302 1  389.247 557.013 23.954
303 1  2821.543 1562.282 1339.937
304 1  2412.676 158.672 628.562
305 1  685.264 613.338 339.756
306 1  673.560 340.102 458.912
307 1  819.534 952.620 267.598
308 1  160.696 411.280 816.863
309 1  2929.802 4782.912 2626.512
310 1  23.088 733.473 1024.332
311 1  302.014 773.322 301.559
312 1  2525.531 3069.375 436.402
313 1  275.108 575.587 815.948
314 1  384.550 1005.659 859.745
315 1  405.371 888.359 609.022
316 1  774.623 884.729 163.513
317 1  196.143 1020.907 419.651
318 1  596.636 1017.288 202.404
319 1  787.004 268.119 349.471
320 1  376.323 1039.134 392.657
321 1  463.425 0.000 900.026
322 1  358.437 949.967 489.455
323 1  819.738 179.220 255.645
324 1  2089.214 3769.075 1114.809
325 1  697.312 820.233 248.879
326 1  998.753 271.354 97.148
327 1  47.972 676.394 621.342
328 1  494.023 245.727 1499.277
329 1  371.810 884.718 746.423
330 1  1128.590 3151.222 2255.128
331 1  443.986 437.932 367.710
332 1  253.221 345.913 689.160
333 1  935.636 634.769 378.429
334 1  364.686 641.114 710.507
335 1  323.712 468.221 263.099
336 1  870.392 585.802 576.260
337 1  930.593 909.316 197.652
338 1  207.318 551.873 418.941
339 1  894.760 226.680 703.614
340 1  306.562 450.552 542.714
341 1  588.061 117.945 258.518
342 1  781.436 235.086 961.194
343 1  444.272 40.398 699.221
344 1  311.842 815.709 543.480
345 1  1691.316 285.338 2077.466
346 1  117.030 957.040 505.655
347 1  654.476 684.014 715.166
348 1  418.176 823.856 341.060
349 1  294.679 91.147 504.046
350 1  3132.240 2775.505 1549.005
351 1  538.841 430.734 253.338
352 1  266.152 325.431 531.092
353 1  535.376 821.057 722.840
354 1  2144.324 3805.596 3472.698
355 1  693.634 471.748 651.569
356 1  911.399 1045.638 285.787
357 1  448.818 326.147 731.058
358 1  383.131 267.023 549.313
359 1  943.479 266.071 293.278
360 1  5892.024 6749.412 4181.553
361 1  941.551 1195.084 1356.653
362 1  115.632 829.140 473.040
363 1  94.071 262.945 834.087
364 1  509.825 725.544 427.422
365 1  615.107 171.248 1975.661
366 1  86.305 1078.655 997.548
367 1  69.756 184.324 963.820
368 1  1817.681 4458.745 5042.013
369 1  206.901 223.190 472.276
370 1  511.362 884.884 109.770
371 1  606.134 719.766 313.189
372 1  425.872 0.000 103.529
373 1  526.964 475.499 1042.181
374 1  930.589 963.233 577.723
375 1  622.187 416.833 34.691
376 1  212.403 161.289 817.413
377 1  351.365 5244.030 2976.463
378 1  220.822 88.155 658.113
379 1  551.211 373.674 495.572
380 1  1062.712 589.002 259.776
381 1  663.285 1021.247 449.406
382 1  521.519 443.358 914.180
383 1  275.990 948.565 810.961
384 1  60.944 913.856 0.000
385 1  712.201 530.060 102.851
386 1  1760.169 898.348 2083.693
387 1  910.855 353.233 908.984
388 1  513.683 541.329 324.123
389 1  878.828 128.171 362.070
390 1  791.208 156.931 844.995
391 1  297.962 771.841 721.139
392 1  672.487 931.667 0.000
393 1  2202.620 2214.050 1315.363
394 1  261.897 465.836 743.745
395 1  761.755 228.957 0.000
396 1  1578.395 371.771 2239.491
397 1  265.749 963.778 321.345
398 1  346.400 1004.831 991.695
399 1  98.475 898.204 841.084
400 1  685.818 849.043 688.778
401 1  294.980 116.933 1002.304
402 1  2760.656 0.000 243.523
403 1  800.395 273.306 783.317
404 1  956.652 135.211 244.690
405 1  164.643 720.563 548.168
406 1  772.047 809.334 384.140
407 1  598.349 957.743 921.999
408 1  451.107 67.267 384.634
409 1  602.661 57.259 1013.648
410 1  162.604 182.499 304.073
411 1  391.471 374.258 471.715
412 1  377.675 10.373 998.029
413 1  1079.434 2001.459 1499.364
414 1  438.987 814.135 499.434
415 1  741.846 788.243 510.895
416 1  29.520 190.399 272.241
417 1  233.643 654.674 718.737
418 1  560.929 197.727 444.294
419 1  424.239 128.678 93.168
420 1  25.177 739.458 507.650
421 1  1316.341 0.000 1962.199
422 1  575.588 437.838 382.658
423 1  221.704 294.525 806.714
424 1  1630.984 333.445 3638.702
425 1  1016.685 852.268 847.473
426 1  390.578 470.145 714.464
427 1  672.099 204.965 92.452
428 1  863.655 367.677 246.040
429 1  746.716 67.087 412.086
430 1  867.828 932.922 389.666
431 1  102.101 642.112 462.282
432 1  848.230 542.596 990.688
433 1  1016.262 591.055 593.080
434 1  260.998 905.893 969.044
435 1  232.767 654.098 213.530
436 1  318.257 315.285 894.296
437 1  732.281 618.660 6.836
438 1  267.250 652.317 357.771
439 1  828.376 881.789 42.957
440 1  2956.232 2345.317 180.306
441 1  757.033 395.018 545.223
442 1  291.296 1630.001 1149.347
443 1  5588.928 493.139 6826.190
444 1  703.915 151.116 312.384
445 1  5464.129 4900.178 7431.769
446 1  45.678 719.445 355.960
447 1  46.361 581.172 225.435
448 1  444.761 135.373 505.597
449 1  738.183 406.502 275.927
450 1  69.167 181.711 140.145
451 1  310.865 759.025 95.804
452 1  538.339 315.843 166.507
453 1  1222.066 3.901 344.973
454 1  2004.111 1777.951 184.637
455 1  128.852 304.343 717.278
456 1  766.956 747.277 780.185
457 1  829.157 607.362 103.622
458 1  963.147 0.000 440.587
459 1  358.397 731.070 415.319
460 1  298.875 221.569 161.899
461 1  784.928 390.071 399.975
462 1  1076.490 258.122 0.000
463 1  452.077 2011.373 2146.143
464 1  567.478 1024.291 73.872
465 1  451.544 628.996 908.434
466 1  563.775 488.529 634.850
467 1  860.105 785.130 143.464
468 1  1150.910 471.099 561.577
469 1  2391.556 3537.461 6518.600
470 1  672.026 113.568 511.041
471 1  976.298 874.439 971.171
472 1  645.687 242.324 546.957
473 1  446.721 107.560 824.218
474 1  348.706 326.881 43.322
475 1  404.762 172.881 320.424
476 1  0.000 580.778 37.583
477 1  441.779 677.495 35.822
478 1  214.095 687.764 859.700
479 1  460.321 703.493 307.020
480 1  220.550 7500.000 4326.290
481 1  38.821 56.403 101.252
482 1  3226.964 3967.045 2062.546
483 1  3203.819 5966.211 0.000
484 1  0.000 1402.782 1584.261
485 1  1866.658 80.175 4415.739
486 1  464.245 203.529 0.000
487 1  4932.950 5603.307 3993.853
488 1  1669.710 1321.867 679.030
489 1  3494.557 5899.641 4837.105
490 1  990.502 1529.379 4455.970
491 1  3694.754 4232.984 1083.370
492 1  774.494 4739.256 909.003
493 1  3910.465 206.489 1336.329
494 1  2360.196 4102.872 643.942
495 1  6332.883 2858.251 2227.268
496 1  4814.495 1944.576 729.852
497 1  1181.012 342.513 352.319
498 1  0.682 1368.273 1096.944
499 1  661.753 2848.579 113.524
500 1  311.366 250.855 1009.297
501 2  624.200 202.417 5223.785
502 2  3646.339 3459.670 2169.469
503 2  1393.100 2640.267 2633.630
504 2  5260.045 3701.796 1199.994
505 2  715.353 7336.225 3519.246
506 2  3096.752 2529.970 3631.060
507 2  375.195 6.831 3596.272
508 2  7500.000 3543.969 3368.457
509 2  7174.897 7324.436 3308.642
510 2  6505.178 4896.158 3161.510
511 2  2816.978 193.447 5626.227
512 2  2890.077 791.375 5375.261
513 2  5283.830 2055.527 3864.215
514 2  2359.298 698.746 1196.883
515 2  6233.506 527.774 1894.428
516 2  6605.459 4234.137 3870.528
517 2  7030.221 7042.962 4696.355
518 2  3048.174 786.445 0.000
519 2  6899.192 3484.524 3124.923
520 2  6927.116 7292.622 4645.393
521 2  1606.936 3092.037 6744.295
522 2  6203.652 3963.092 552.179
523 2  4759.282 4117.838 6601.464
524 2  192.445 5369.136 7029.652
525 2  3221.315 6856.522 2849.917
526 2  5909.660 3012.898 2081.187
527 2  2610.873 2138.643 2916.456
528 2  6750.694 3268.383 1002.179
529 2  54.584 4637.606 4491.195
530 2  2945.979 4538.351 5622.933
531 2  3727.643 7406.914 6812.978
532 2  4960.699 3462.600 90.994
533 2  582.809 2393.331 477.695
534 2  -0.000 4656.739 4732.072
535 2  5735.068 2056.493 5782.159
536 2  7351.780 0.082 0.120
537 2  3922.708 300.225 2954.426
538 2  933.115 5419.681 2100.786
539 2  3512.777 1662.757 853.451
540 2  5046.925 2530.611 0.000
541 2  4400.971 233.925 4263.730
542 2  2832.323 1885.183 6599.012
543 2  4960.863 1104.579 0.000
544 2  3400.315 1554.591 1626.937
545 2  13.312 0.000 2317.495
546 2  1437.729 582.419 0.000
547 2  2415.708 6981.503 6208.903
548 2  4586.799 38.294 71.700
549 2  1857.435 5808.489 5346.727
550 2  1281.433 0.000 2440.300
551 2  613.016 1773.449 1184.381
552 2  0.554 0.996 902.654
553 2  2947.944 1290.034 127.000
554 2  21.982 2562.090 2736.655
555 2  52.067 387.809 2315.388
556 2  1692.096 1254.150 1492.149
557 2  1650.368 5676.248 1365.181
558 2  551.655 2401.517 0.000
559 2  5011.422 5507.538 3609.838
560 2  0.000 829.992 1977.693
561 2  1931.165 0.000 258.833
562 2  534.811 6224.601 0.000
563 2  559.802 2383.335 3601.197
564 2  35.292 1664.564 7500.000
565 2  1160.027 1711.964 1731.711
566 2  769.220 2854.284 0.000
567 2  0.000 6303.619 4847.959
568 2  424.788 1050.141 2962.781
569 2  7500.000 2270.772 4515.855
570 2  0.000 275.833 1088.738
571 2  1781.601 603.319 6442.564
572 2  3952.826 2700.516 2050.131
573 2  0.000 3569.905 6991.891
574 2  1654.283 6209.596 4836.980
575 2  111.490 1374.694 825.102
576 2  0.000 2310.050 1312.089
577 2  2502.181 4730.112 970.546
578 2  0.000 1196.166 275.772
579 2  6.438 10.031 2989.272
580 2  3930.814 6942.416 0.000
581 2  0.000 2192.093 427.705
582 2  5609.361 1095.903 2012.948
583 2  2062.234 0.000 37.186
584 2  1067.265 320.422 994.623
585 2  1179.400 5325.121 2576.969
586 2  2103.569 1044.896 111.320
587 2  800.103 0.000 3050.698
588 2  327.260 0.000 1419.744
589 2  3465.271 2269.459 2031.708
590 2  1890.135 5613.245 1631.823
591 2  0.502 2896.620 0.000
592 2  1620.288 3132.927 766.302
593 2  4366.308 5886.557 1687.474
594 2  1111.397 0.000 591.202
595 2  1196.791 0.000 4502.678
596 2  3994.345 2197.251 2402.793
597 2  1706.563 931.170 422.998
598 2  3811.899 7.774 48.571
599 2  856.510 823.378 3498.145
600 2  0.000 107.739 1238.869
601 2  0.000 1978.282 1962.875
602 2  210.513 0.000 888.639
603 2  3322.473 3228.374 897.644
604 2  437.568 742.750 1394.209
605 2  4357.532 5077.821 341.423
606 2  3455.933 2281.194 7240.054
607 2  1088.869 2490.726 758.305
608 2  1140.536 432.123 0.000
609 2  2098.489 3955.222 0.000
610 2  0.000 1362.835 433.068
611 2  5716.267 15.189 7474.595
612 2  2081.962 1435.834 1283.746
613 2  1794.570 3378.972 5302.541
614 2  0.000 2882.039 350.777
615 2  2827.255 895.763 725.053
616 2  2870.418 552.579 1665.448
617 2  5206.053 559.670 0.000
618 2  0.000 466.240 3563.772
619 2  6222.574 476.273 5193.679
620 2  1104.043 3539.799 2563.980
621 2  1874.401 0.000 638.188
622 2  0.000 3531.044 1950.315
623 2  0.000 919.758 967.152
624 2  704.282 1580.301 2127.094
625 2  3362.984 2065.508 2194.806
626 2  0.000 2309.691 3527.568
627 2  2464.795 2624.026 1394.392
628 2  4525.532 514.209 3433.656
629 2  1839.987 4939.428 3186.236
630 2  5481.134 0.000 611.389
631 2  460.189 161.001 1010.605
632 2  571.991 0.000 2184.635
633 2  4109.954 502.114 2189.469
634 2  1779.667 0.000 438.995
635 2  1616.562 64.181 0.000
636 2  137.165 2811.577 560.713
637 2  4874.104 7330.052 1750.405
638 2  2585.559 1135.968 2917.242
639 2  6565.123 3501.387 632.792
640 2  139.696 2077.851 0.002
641 2  1701.050 2566.111 0.000
642 2  402.968 356.658 2068.202
643 2  528.116 3106.267 819.582
644 2  85.245 3196.824 108.506
645 2  1307.530 342.070 2081.561
646 2  1222.216 3800.207 465.016
647 2  1852.629 3103.864 3404.660
648 2  1248.020 2474.334 403.416
649 2  0.000 1918.787 4620.875
650 2  1881.605 2675.501 0.000
651 2  4478.733 2192.762 406.074
652 2  5554.827 2156.366 2282.914
653 2  930.774 680.204 0.000
654 2  1761.021 3984.536 306.459
655 2  1505.521 98.746 1394.916
656 2  1956.807 0.000 3362.805
657 2  1294.136 1106.299 1907.189
658 2  2408.045 3466.285 0.000
659 2  6384.508 3670.403 3760.905
660 2  7500.000 820.326 3113.785
661 2  1230.767 2548.608 608.955
662 2  3103.225 4202.347 2073.473
663 2  2399.531 3006.990 7481.581
664 2  889.829 2989.054 100.051
665 2  313.835 3434.845 1272.087
666 2  5741.807 0.000 0.000
667 2  847.606 0.332 1546.085
668 2  0.499 2851.050 2420.677
669 2  165.903 1868.585 1.244
670 2  2970.797 1582.894 2219.648
671 2  165.983 2290.206 0.000
672 2  171.525 1188.200 0.000
673 2  2768.155 2486.392 2424.455
674 2  792.068 0.000 1781.856
675 2  1975.922 113.372 2958.597
676 2  4431.490 0.000 3538.381
677 2  1137.878 481.430 3758.866
678 2  1779.209 701.475 170.844
679 2  0.000 1484.191 2350.329
680 2  0.000 1655.918 1624.443
681 2  54.748 343.827 418.115
682 2  243.342 121.260 1609.488
683 2  0.000 1037.339 1577.673
684 2  2122.434 2106.703 511.861
685 2  0.000 3233.558 4589.487
686 2  1138.721 1221.621 0.000
687 2  1983.000 1753.120 0.000
688 2  3668.127 2235.939 1818.836
689 2  3642.102 2884.895 2590.840
690 2  0.000 789.484 2775.178
691 2  676.486 0.886 1160.317
692 2  5038.431 5595.694 4722.154
693 2  1424.306 1021.848 2433.795
694 2  2760.930 963.804 2459.844
695 2  1940.234 2350.160 4033.528
696 2  963.815 0.000 1136.562
697 2  8.339 2178.776 245.079
698 2  294.999 1230.825 445.725
699 2  748.214 19.877 2091.837
700 2  3633.233 307.166 288.807
701 2  1160.017 131.821 812.222
702 2  1858.769 1736.651 1422.032
703 2  3217.965 626.109 3279.588
704 2  7305.538 7498.917 1253.833
705 2  2160.746 225.666 4378.997
706 2  3029.505 0.000 2271.930
707 2  226.095 1183.905 225.887
708 2  1528.973 6.656 1693.042
709 2  0.000 668.501 2980.906
710 2  3181.206 0.000 453.250
711 2  2324.004 1126.309 197.524
712 2  3414.842 16.700 6.465
713 2  1068.328 664.934 1203.407
714 2  800.899 1612.785 405.372
715 2  2420.078 4.395 1122.562
716 2  1417.829 418.367 2239.974
717 2  661.136 1072.089 1652.666
718 2  1654.334 1210.282 2458.637
719 2  1236.839 371.433 489.218
720 2  390.170 2280.916 0.000
721 2  3081.464 3989.144 428.039
722 2  4350.778 1273.924 1142.735
723 2  189.078 559.266 582.759
724 2  1708.651 2759.213 2432.952
725 2  3859.671 691.158 1188.769
726 2  2335.824 1422.516 3774.712
727 2  1719.413 32.476 1316.085
728 2  1070.238 0.819 1303.530
729 2  93.462 2498.932 1397.194
730 2  2993.410 391.050 2380.280
731 2  2575.336 1070.988 0.000
732 2  1496.288 3428.491 2475.291
733 2  1245.344 2543.650 0.000
734 2  0.000 0.000 4251.531
735 2  0.188 3011.483 2520.408
736 2  0.000 3486.626 903.639
737 2  1055.060 1717.540 2170.821
738 2  445.562 0.000 6771.886
739 2  1422.178 0.000 3533.024
740 2  2806.570 2876.680 7281.301
741 2  2147.915 4.611 195.926
742 2  1689.866 192.963 193.386
743 2  2182.971 2831.629 6330.017
744 2  2637.571 0.000 2584.221
745 2  2421.616 5279.081 2821.660
746 2  1041.882 28.525 1733.936
747 2  1388.252 2158.739 182.354
748 2  0.000 4404.347 3940.549
749 2  2436.808 0.494 0.032
750 2  468.291 0.000 2363.944
751 2  3775.079 2050.689 2430.352
