LAMMPS data file, Author: Jerry Qin

1000 atoms
0 bonds
0 angles

2 atom types

-100.0 6100 xlo xhi
-100.0 6100 ylo yhi
-100.0 6100 zlo zhi

Masses

1 221851
2 422051

Atoms

1 1  1404.495 5220.901 5998.899
2 1  0.784 5999.215 1357.131
3 1  4924.700 4429.641 0.000
4 1  2061.767 0.000 1142.433
5 1  945.046 873.097 4326.797
6 1  2774.123 32.086 5990.894
7 1  2240.596 0.166 0.557
8 1  2968.812 2451.266 6000.000
9 1  1395.214 5989.365 2.631
10 1  0.000 4020.786 0.000
11 1  1577.329 4266.068 0.000
12 1  5995.076 2413.351 5995.520
13 1  5998.297 5997.965 5540.145
14 1  200.414 5614.188 5997.253
15 1  76.097 2.771 5833.557
16 1  6.299 2625.468 1.511
17 1  3281.258 286.327 905.024
18 1  191.033 5998.885 5999.822
19 1  2752.848 3491.783 5999.237
20 1  1231.366 2277.978 2657.350
21 1  1121.069 2417.309 0.001
22 1  3294.869 3464.549 0.000
23 1  1.403 5996.788 2265.766
24 1  5852.551 713.682 5999.280
25 1  5598.197 5999.999 3684.068
26 1  815.015 1615.135 3771.329
27 1  2355.992 4469.282 4903.266
28 1  1961.370 2843.142 0.001
29 1  3044.956 1493.395 5999.898
30 1  2374.448 5259.886 5996.290
31 1  993.144 5998.849 0.653
32 1  17.245 5923.277 1810.932
33 1  2109.063 1839.676 3369.138
34 1  3321.096 3864.411 2899.168
35 1  3097.695 5361.409 793.564
36 1  5141.492 3.202 2675.500
37 1  2011.650 2405.429 235.297
38 1  4439.841 459.443 5999.807
39 1  1.297 1.471 5421.167
40 1  7.555 4487.745 5386.623
41 1  5999.773 1052.625 2783.806
42 1  732.084 5948.679 497.387
43 1  3107.729 5148.330 707.693
44 1  1642.750 1648.879 5604.161
45 1  2453.456 5999.046 800.890
46 1  3709.595 3149.113 0.000
47 1  9.332 97.641 2409.478
48 1  0.000 2053.417 832.359
49 1  0.000 1893.211 1754.152
50 1  0.000 2138.295 563.116
51 1  3530.201 280.043 69.680
52 1  924.172 71.571 748.338
53 1  1088.408 205.243 0.000
54 1  1364.425 616.351 0.000
55 1  1132.085 1538.757 0.000
