LAMMPS data file, author Jerry Qin

1000 atoms
2 atom types
0 bonds
0 angles

-200.0 3200 xlo xhi
-200.0 3200 ylo yhi
-200.0 3200 zlo zhi

Masses

1 221851.569
2 422051.5699

Atoms

1 1  1987.829 2579.897 178.265
2 1  1709.332 0.372 1900.317
3 1  1291.142 877.535 1519.074
4 1  1368.451 2931.244 603.526
5 1  2999.933 952.850 0.072
6 1  2944.296 2872.588 49.240
7 1  730.946 831.753 141.691
8 1  1212.124 1449.313 607.365
9 1  2041.271 1791.969 2007.774
10 1  874.411 2185.460 734.263
11 1  761.351 849.402 1934.307
12 1  2129.148 1635.051 192.428
13 1  2145.244 1846.224 1696.902
14 1  2089.203 102.876 1485.950
15 1  1819.523 525.647 1529.012
16 1  1372.384 1526.413 1480.434
17 1  867.399 1539.078 456.436
18 1  275.404 2136.639 919.593
19 1  813.060 1898.901 1513.340
20 1  1301.837 1041.059 158.805
21 1  2312.713 1198.705 615.554
22 1  1147.563 508.487 1638.526
23 1  2903.662 2216.902 2496.046
24 1  2219.282 1937.379 1123.789
25 1  592.388 1686.835 2096.482
26 1  1544.252 2442.084 2687.572
27 1  1373.963 1777.473 2209.739
28 1  2675.714 32.813 2222.312
29 1  1040.885 982.313 1397.393
30 1  971.634 2678.966 2029.716
31 1  2594.224 661.832 686.036
32 1  1986.466 2877.849 2541.923
33 1  592.224 611.422 1586.013
34 1  390.205 854.878 1234.253
35 1  1764.770 1364.446 2166.599
36 1  776.227 672.569 283.186
37 1  187.455 2719.670 754.756
38 1  771.558 119.918 467.219
39 1  674.198 141.041 789.267
40 1  1512.672 1525.376 77.693
41 1  745.724 723.984 81.055
42 1  532.067 874.995 151.923
43 1  541.016 875.400 346.590
44 1  923.132 202.242 967.064
45 1  1672.406 2641.656 2211.015
46 1  896.043 7.431 0.665
47 1  1007.537 833.329 1001.751
48 1  820.517 340.653 378.827
49 1  1050.225 2405.095 354.638
50 1  628.754 660.062 519.185
51 1  881.099 340.064 931.626
52 1  953.914 914.636 327.681
53 1  74.235 244.649 894.832
54 1  1024.813 887.422 604.631
55 1  1126.814 225.536 248.450
56 1  26.047 220.614 1007.216
57 1  394.016 752.136 786.739
58 1  1001.601 492.115 675.142
59 1  790.089 452.791 250.744
60 1  954.377 371.034 496.228
61 1  176.024 718.081 608.391
62 1  328.325 442.875 641.484
63 1  907.029 267.304 840.379
64 1  713.577 2356.639 1161.752
65 1  1716.818 1270.390 1798.766
66 1  399.142 842.202 444.983
67 1  256.806 434.840 445.150
68 1  390.481 380.812 401.783
69 1  308.051 774.227 937.576
70 1  989.423 815.229 112.970
71 1  577.941 353.702 434.491
72 1  23.518 725.734 326.742
73 1  1711.967 1968.132 1216.698
74 1  881.871 826.873 148.475
75 1  863.561 401.198 86.031
76 1  739.149 287.870 692.180
77 1  397.136 514.952 717.476
78 1  525.712 365.582 301.007
79 1  327.365 723.728 109.962
80 1  1842.042 1922.216 289.438
81 1  789.637 780.055 495.946
82 1  556.169 485.007 503.709
83 1  778.668 496.050 952.656
84 1  955.643 489.276 64.953
85 1  1567.204 192.402 607.986
86 1  2374.391 2841.903 1433.079
87 1  312.654 585.950 1017.879
88 1  934.124 1622.067 319.118
89 1  1010.634 697.981 76.782
90 1  894.724 1504.427 108.926
91 1  1282.677 2110.213 1607.570
92 1  944.723 497.989 1028.420
93 1  695.877 329.783 827.074
94 1  2274.176 2951.188 1069.580
95 1  1047.332 649.799 775.839
96 1  33.888 481.914 603.322
97 1  746.246 1032.293 899.443
98 1  712.795 560.994 1021.698
99 1  196.209 553.321 440.472
100 1  974.493 756.465 266.595
101 1  927.890 618.412 320.728
102 1  663.680 131.042 567.924
103 1  2413.368 635.285 121.270
104 1  960.798 333.459 55.724
105 1  978.507 706.869 644.179
106 1  987.208 503.100 788.145
107 1  266.396 239.009 1032.168
108 1  136.171 637.744 807.794
109 1  624.549 569.114 448.319
110 1  195.436 13.187 385.134
111 1  2034.513 1607.318 0.000
112 1  202.850 615.527 561.265
113 1  1516.236 1187.788 361.959
114 1  223.503 722.159 481.131
115 1  21.847 584.497 727.333
116 1  880.282 114.644 449.242
117 1  132.734 1076.773 518.913
118 1  2395.767 243.383 664.375
119 1  1096.365 1116.574 1492.414
120 1  823.913 586.411 1021.302
121 1  809.552 34.834 150.523
122 1  1162.683 2977.051 2663.299
123 1  938.205 715.195 749.215
124 1  657.949 566.069 1478.646
125 1  1011.094 530.407 941.625
126 1  300.099 459.620 999.902
127 1  899.179 640.545 71.629
128 1  439.775 772.695 127.373
129 1  1806.041 2051.178 2993.736
130 1  611.957 248.494 823.036
131 1  1803.880 1860.963 1297.408
132 1  157.908 222.229 1024.943
