LAMMPS data file, Author: Jerry Qin

1000 atoms
0 bonds
0 angles

2 atom types

0.0 6000 xlo xhi
0.0 6000 ylo yhi
0.0 6000 zlo zhi

Masses

1 221851.699
2 422051.6999

Atoms

1 1  0.473 2969.575 3293.923
2 1  0.638 8.362 1.074
3 1  1794.824 49.661 0.348
4 1  2878.411 0.756 1115.315
5 1  2134.074 0.000 0.000
6 1  2618.438 837.793 2391.338
7 1  4874.620 1089.778 3873.271
8 1  0.340 2751.104 0.197
9 1  1530.381 5998.223 1333.040
10 1  5291.087 5999.415 5991.531
11 1  761.064 1213.214 3819.857
12 1  2698.078 1507.647 1.552
13 1  334.968 417.970 1498.381
14 1  3688.869 2029.147 1021.404
15 1  1414.968 2664.567 2649.304
16 1  2262.651 3378.235 1476.933
17 1  4535.757 2093.371 1317.799
18 1  1620.939 1574.447 1244.612
19 1  761.647 912.301 1661.695
20 1  1065.858 1058.244 2772.958
21 1  929.604 342.536 0.000
22 1  4715.915 2718.989 896.403
23 1  2516.133 2114.188 4200.915
24 1  2285.766 1663.850 1914.453
25 1  2399.707 0.000 662.458
26 1  3379.583 3374.568 1494.983
27 1  2943.147 3337.380 926.173
28 1  0.000 129.084 489.500
29 1  362.430 1033.515 0.000
30 1  1339.297 1626.721 2375.565
31 1  1885.182 927.509 2599.262
32 1  440.932 65.340 1072.937
33 1  0.832 373.302 23.312
34 1  1942.827 1481.092 5866.971
35 1  12.438 1092.228 393.398
36 1  717.907 563.156 156.119
37 1  3277.074 3137.394 1492.178
38 1  955.133 819.626 2817.889
39 1  0.002 980.805 2127.778
40 1  437.120 253.850 60.255
41 1  1292.156 1596.147 235.123
42 1  1343.477 77.760 2696.215
43 1  3470.877 1386.320 410.772
44 1  0.000 1105.207 1589.770
45 1  436.091 206.094 467.927
46 1  548.673 46.921 745.074
47 1  463.345 536.699 984.293
48 1  952.980 4641.816 4792.908
49 1  591.434 734.882 551.192
50 1  837.496 241.870 155.286
51 1  1357.793 861.137 636.824
52 1  286.262 563.059 9.822
53 1  220.329 756.813 327.632
54 1  986.751 505.537 901.345
55 1  865.358 877.034 494.889
56 1  3261.863 1583.957 1282.486
57 1  841.916 20.025 125.737
58 1  67.011 139.427 46.121
