LAMMPS data file, Author: Jerry Qin

1000 atoms
0 bonds
0 angles

2 atom types

-100 5100 xlo xhi
-100 5100 ylo yhi
-100 5100 zlo zhi

Masses

1 221851
2 422051

Atoms

1 1  9.661 376.044 451.799
2 1  1524.655 4.496 1326.248
3 1  1018.831 1178.671 1769.876
4 1  145.531 384.257 499.954
5 1  407.070 582.468 798.276
6 1  105.735 842.248 809.685
7 1  831.404 66.999 443.607
8 1  895.535 484.927 140.360
9 1  885.757 581.332 725.710
10 1  735.804 800.636 153.401
11 1  875.604 359.413 869.974
12 1  613.049 612.481 664.950
13 1  102.955 913.145 266.906
14 1  623.492 547.224 34.028
15 1  31.061 896.663 411.199
16 1  519.726 191.429 914.059
17 1  418.077 65.494 275.965
18 1  298.703 468.756 508.578
19 1  581.282 392.015 461.325
20 1  973.481 678.627 290.709
21 1  298.409 732.347 800.081
22 1  221.138 585.114 828.347
23 1  866.584 807.868 925.814
24 1  171.078 481.452 117.471
25 1  532.557 310.493 207.184
26 1  619.812 966.857 834.084
27 1  845.915 710.051 661.907
28 1  287.258 418.610 1029.346
29 1  119.811 520.076 539.338
30 1  67.728 33.004 193.882
31 1  772.380 693.596 994.669
32 1  727.975 653.777 464.133
33 1  656.646 788.123 444.901
34 1  840.117 684.889 0.001
35 1  848.931 507.581 338.831
36 1  17.673 666.674 921.405
37 1  761.929 602.088 236.479
38 1  128.525 454.272 683.930
39 1  3196.540 369.347 543.299
40 1  3557.399 916.423 356.453
41 1  3159.112 620.684 260.876
42 1  3414.208 646.070 754.346
43 1  3288.000 970.072 668.257
44 1  3470.718 537.601 189.103
45 1  3539.411 545.522 724.277
46 1  3096.079 702.417 166.156
47 1  3562.770 110.847 573.578
48 1  3429.197 543.427 306.560
49 1  3720.141 986.181 804.666
50 1  3326.521 712.707 326.587
51 1  3115.992 470.987 496.183
52 1  3070.163 279.531 739.941
53 1  3342.068 222.877 422.190
54 1  3728.511 857.956 41.739
55 1  3699.445 571.302 300.408
56 1  3366.072 161.764 572.349
57 1  3539.779 857.404 216.472
58 1  3593.117 483.877 343.353
59 1  3111.461 106.901 883.632
60 1  3214.932 429.243 362.293
61 1  3583.356 470.237 638.828
62 1  3073.648 866.807 254.324
63 1  3519.140 714.556 802.367
64 1  3429.531 273.071 282.411
65 1  3280.355 662.738 46.044
66 1  3581.173 296.539 416.193
67 1  3391.509 744.008 686.813
68 1  3621.729 925.860 757.012
69 1  3405.673 852.951 112.644
70 1  3220.685 867.578 720.507
71 1  3236.067 37.761 742.600
72 1  3647.041 81.115 658.406
73 1  3630.978 210.616 148.206
74 1  3202.970 261.667 653.296
75 1  3463.801 666.794 292.652
76 1  991.236 3207.382 379.019
77 1  906.964 4057.504 282.518
78 1  495.369 3412.081 606.233
79 1  439.575 3774.928 125.903
80 1  323.745 3268.963 573.082
81 1  864.024 3231.384 239.635
82 1  953.976 3563.164 628.627
83 1  812.097 3509.381 155.190
84 1  899.361 4026.679 129.646
85 1  805.693 3641.895 800.025
86 1  646.118 3913.176 848.460
87 1  552.474 3940.461 588.432
88 1  33.478 3748.330 922.604
89 1  474.668 3220.568 154.520
90 1  272.978 3600.093 520.415
91 1  980.969 3944.039 943.881
92 1  359.013 3417.569 551.155
93 1  85.876 3431.370 529.487
94 1  81.665 3257.793 176.722
95 1  84.440 3453.185 176.589
96 1  262.645 3983.843 632.479
97 1  806.888 3345.409 562.159
98 1  257.683 3361.780 264.705
99 1  303.367 3811.970 611.911
100 1  66.383 3870.906 909.473
101 1  998.915 3685.147 673.011
102 1  930.231 3637.165 966.295
103 1  159.196 4016.235 941.789
104 1  394.091 3450.348 831.265
105 1  686.066 3960.326 683.452
106 1  219.160 3404.560 590.994
107 1  42.647 4073.899 978.394
108 1  87.680 4064.769 401.124
109 1  200.950 3877.617 245.737
110 1  173.146 3511.386 456.648
111 1  643.763 3560.825 620.976
112 1  22.224 3310.577 540.208
113 1  701.555 4082.419 954.350
114 1  579.715 907.065 3547.619
115 1  196.180 31.038 3474.202
116 1  993.284 42.943 3243.217
117 1  444.536 454.712 3406.654
118 1  377.649 385.863 3861.969
119 1  765.468 416.322 3229.445
120 1  431.964 418.511 3624.003
121 1  939.550 443.956 3223.220
122 1  100.748 93.508 3607.552
123 1  53.059 265.056 3607.435
124 1  706.120 902.601 3305.179
125 1  140.569 851.580 3204.032
126 1  328.136 111.350 3838.357
127 1  973.461 275.694 3439.722
128 1  859.293 391.453 3421.549
129 1  56.648 503.102 3636.668
130 1  407.716 86.499 3481.425
131 1  972.150 886.045 3849.550
132 1  750.497 218.999 3791.080
133 1  828.827 134.693 3848.430
134 1  502.023 638.764 3307.867
135 1  78.037 825.215 3322.446
136 1  529.320 92.859 3205.110
137 1  63.261 628.454 3594.541
138 1  551.945 407.347 3743.460
139 1  215.801 179.490 3612.641
140 1  815.880 556.719 3189.776
141 1  877.268 262.944 3297.980
142 1  859.278 880.271 3407.081
143 1  511.320 464.403 3289.644
144 1  61.513 637.155 3235.176
145 1  747.762 448.616 3717.465
146 1  210.872 448.628 3734.671
147 1  200.772 630.790 3611.122
148 1  888.751 291.327 3571.068
149 1  568.212 300.633 3384.904
150 1  389.285 776.611 3856.332
151 1  3369.706 3255.206 91.613
152 1  3637.124 3522.915 142.263
153 1  3560.621 3533.910 858.952
154 1  3391.118 3217.222 416.742
155 1  3213.617 3734.950 543.705
156 1  3653.989 3266.735 602.413
157 1  3666.736 3549.370 435.502
158 1  3816.817 3782.240 713.500
159 1  3812.587 3880.623 384.867
160 1  3900.786 3806.253 938.860
161 1  3412.485 3568.909 314.225
162 1  3354.520 3953.977 62.110
163 1  3369.912 3739.973 705.705
164 1  3941.088 3214.300 269.821
165 1  3868.274 4045.582 623.656
166 1  3339.916 3416.545 50.808
167 1  3354.194 4042.841 414.470
168 1  3780.136 3936.262 571.646
169 1  3462.326 3366.822 414.312
170 1  3876.711 3919.903 271.884
171 1  4028.345 3418.740 154.593
172 1  3552.336 3585.162 969.239
173 1  3376.202 3242.664 545.473
174 1  3465.850 3885.918 35.077
175 1  3920.653 3262.464 568.996
176 1  3733.185 3697.335 424.464
177 1  3286.428 3937.024 861.174
178 1  3319.025 3906.693 232.802
179 1  4041.642 3890.760 345.962
180 1  3546.316 3678.194 433.520
